Subtype,P,B,T,Mode,AxisNote
Bipolar Disorder,2.0,-1.0,3.0,"Mania-weighted bipolar state","High reward/salience precision, porous boundary, future-expanded mood-energy horizon"
Borderline Personality Disorder (BPD),0.0,-2.0,0.0,"Chaotic precision / porous boundary","Precision oscillates around social-emotional cues; boundary collapses under attachment stress"
High-Functioning Autism,1.0,2.0,0.0,"High local precision / rigid social boundary","Detail precision and strong self-world boundary; sensory permeability may vary by context"
ADHD / ADD,-2.0,0.0,0.0,"Low precision / present lock","Attention precision drops; immediate salience dominates temporal planning"
OCD,1.5,1.0,2.0,"Doubt precision / future threat loop","High precision assigned to doubt, contamination, error, or future harm"
High-Functioning Schizophrenia,2.0,-2.0,0.0,"Aberrant precision / boundary dissolution","Noise becomes signal; self-world boundary becomes unstable"
PTSD,1.5,1.0,-2.5,"Trauma hyperprecision / past lock","Threat precision remains high while temporal processing is frozen around trauma memory"
Depression,-2.0,0.0,-1.5,"Reward precision collapse / rumination","Reward signals lose precision while negative past-oriented cognition dominates"
GAD,1.0,0.0,2.0,"Future worry loop","Moderate threat precision with persistent future-oriented uncertainty"
Panic Disorder,2.0,-1.0,2.0,"Interoceptive hyperprecision","Body noise becomes threat signal; future catastrophe loop activates"
Dissociation,-3.0,-3.0,0.0,"Self-signal collapse / boundary collapse","Self precision and self-world demarcation both weaken strongly"
Psychopathy,0.0,2.5,1.0,"Rigid exploitative boundary","Neutral precision with highly rigid self-other separation and low affective permeability"
Schizoaffective Disorder,2.0,-1.5,1.5,"Hybrid psychosis-mood bridge","Aberrant precision with porous boundary and unstable temporal mood horizon"
